t,power,slowness,back_azi
2020-01-01T01:30:48.995000Z,13180694.5802,0.16,156.0
2020-01-01T01:30:49.005000Z,13035332.6844,0.16,156.0
2020-01-01T01:30:49.015000Z,12989348.5903,0.16,156.0
2020-01-01T01:30:49.025000Z,12627274.3899,0.16,156.0
2020-01-01T01:30:49.035000Z,12551198.6072,0.16,156.0
2020-01-01T01:30:49.045000Z,13575774.0461,0.16,156.0
2020-01-01T01:30:49.055000Z,13020419.7447,0.16,156.0
2020-01-01T01:30:49.065000Z,13155630.0181,0.16,156.0
2020-01-01T01:30:49.075000Z,12863406.8665,0.16,156.0
2020-01-01T01:30:49.085000Z,12832477.1701,0.16,156.0
2020-01-01T01:30:49.095000Z,12509531.518,0.16,156.0
2020-01-01T01:30:49.105000Z,14500759.6423,0.16,156.0
2020-01-01T01:30:49.115000Z,20255922.7938,0.16,156.0
2020-01-01T01:30:49.125000Z,21832872.5745,0.16,153.0
2020-01-01T01:30:49.135000Z,22179717.2977,0.16,153.0
2020-01-01T01:30:49.145000Z,22169584.1275,0.16,156.0
2020-01-01T01:30:49.155000Z,22144352.271,0.16,156.0
2020-01-01T01:30:49.165000Z,16240131.8562,0.16,153.0
2020-01-01T01:30:49.175000Z,7115153.91979,0.16,153.0
2020-01-01T01:30:49.185000Z,6913612.72953,0.16,153.0
2020-01-01T01:30:49.195000Z,6527238.13009,0.16,153.0
2020-01-01T01:30:49.205000Z,8171905.79939,0.2,294.0
2020-01-01T01:30:49.215000Z,11301952.1086,0.2,294.0
2020-01-01T01:30:49.225000Z,11114207.8586,0.2,294.0
2020-01-01T01:30:49.235000Z,11029593.5838,0.2,294.0
2020-01-01T01:30:49.245000Z,11055848.7985,0.2,294.0
2020-01-01T01:30:49.255000Z,10660803.6996,0.2,294.0
2020-01-01T01:30:49.265000Z,10694573.0032,0.2,294.0
2020-01-01T01:30:49.275000Z,10492609.2321,0.2,294.0
2020-01-01T01:30:49.285000Z,10824862.0292,0.2,294.0
2020-01-01T01:30:49.295000Z,10954286.6927,0.2,294.0
2020-01-01T01:30:49.305000Z,10421636.8456,0.2,294.0
2020-01-01T01:30:49.315000Z,10882929.415,0.24,249.0
2020-01-01T01:30:49.325000Z,15779949.0473,0.24,249.0
2020-01-01T01:30:49.335000Z,16802786.6046,0.24,249.0
2020-01-01T01:30:49.345000Z,17142189.9383,0.24,249.0
2020-01-01T01:30:49.355000Z,17389653.5946,0.24,249.0
2020-01-01T01:30:49.365000Z,17633504.2356,0.24,249.0
2020-01-01T01:30:49.375000Z,18126347.9957,0.24,249.0
2020-01-01T01:30:49.385000Z,18336927.0525,0.24,249.0
2020-01-01T01:30:49.395000Z,18403542.4832,0.24,249.0
2020-01-01T01:30:49.405000Z,18848068.9357,0.24,249.0
2020-01-01T01:30:49.415000Z,19416552.1572,0.24,249.0
2020-01-01T01:30:49.425000Z,19602860.5203,0.24,249.0
2020-01-01T01:30:49.435000Z,20624012.304,0.24,249.0
2020-01-01T01:30:49.445000Z,20363031.0062,0.24,249.0
2020-01-01T01:30:49.455000Z,20246148.8065,0.24,249.0
2020-01-01T01:30:49.465000Z,20287706.1734,0.24,249.0
2020-01-01T01:30:49.475000Z,20516070.0963,0.24,249.0
2020-01-01T01:30:49.485000Z,20381204.6188,0.24,249.0
2020-01-01T01:30:49.495000Z,19658952.6215,0.24,249.0
2020-01-01T01:30:49.505000Z,11025946.4367,0.24,246.0
2020-01-01T01:30:49.515000Z,3831129.18327,0.28,222.0
2020-01-01T01:30:49.525000Z,2796867.50532,0.28,219.0
2020-01-01T01:30:49.535000Z,2326817.03636,0.08,150.0
2020-01-01T01:30:49.545000Z,1986143.60351,0.16,141.0
2020-01-01T01:30:49.555000Z,1664940.90974,0.2,138.0
2020-01-01T01:30:49.565000Z,1759944.00569,0.2,138.0
2020-01-01T01:30:49.575000Z,1039204.26441,0.2,138.0
2020-01-01T01:30:49.585000Z,956850.503692,0.56,195.0
2020-01-01T01:30:49.595000Z,878970.589453,0.56,195.0
2020-01-01T01:30:49.605000Z,870447.870854,0.2,141.0
2020-01-01T01:30:49.615000Z,761816.968154,0.24,141.0
2020-01-01T01:30:49.625000Z,1119180.34208,0.2,141.0
2020-01-01T01:30:49.635000Z,1299870.1123,0.2,141.0
2020-01-01T01:30:49.645000Z,1271809.27027,0.2,141.0
2020-01-01T01:30:49.655000Z,1200312.74822,0.2,138.0
2020-01-01T01:30:49.665000Z,1178253.41953,0.2,138.0
2020-01-01T01:30:49.675000Z,1125001.47477,0.2,141.0
2020-01-01T01:30:49.685000Z,897440.846188,0.2,144.0
2020-01-01T01:30:49.695000Z,919075.697851,0.92,246.0
2020-01-01T01:30:49.705000Z,802683.419209,0.92,336.0
2020-01-01T01:30:49.715000Z,883882.983728,0.88,246.0
2020-01-01T01:30:49.725000Z,865735.977667,0.88,246.0
2020-01-01T01:30:49.735000Z,755923.780798,0.88,165.0
2020-01-01T01:30:49.745000Z,823920.460721,0.84,279.0
2020-01-01T01:30:49.755000Z,846173.411421,0.4,270.0
2020-01-01T01:30:49.765000Z,847551.018682,0.4,270.0
2020-01-01T01:30:49.775000Z,935011.005407,0.28,159.0
2020-01-01T01:30:49.785000Z,1073216.85699,0.24,165.0
2020-01-01T01:30:49.795000Z,1126786.5802,0.28,162.0
2020-01-01T01:30:49.805000Z,1213487.81499,0.32,162.0
2020-01-01T01:30:49.815000Z,1448142.7694,0.28,162.0
2020-01-01T01:30:49.825000Z,1889908.64651,0.28,162.0
2020-01-01T01:30:49.835000Z,1958236.11218,0.32,159.0
2020-01-01T01:30:49.845000Z,1960484.8601,0.32,162.0
2020-01-01T01:30:49.855000Z,1993678.65355,0.32,159.0
2020-01-01T01:30:49.865000Z,1915024.13879,0.32,159.0
2020-01-01T01:30:49.875000Z,1480789.6635,0.28,159.0
2020-01-01T01:30:49.885000Z,1148271.82605,0.24,144.0
2020-01-01T01:30:49.895000Z,1076547.40239,0.24,162.0
2020-01-01T01:30:49.905000Z,1131154.88365,0.24,162.0
2020-01-01T01:30:49.915000Z,1206057.1741,0.24,159.0
2020-01-01T01:30:49.925000Z,1235072.25722,0.24,159.0
2020-01-01T01:30:49.935000Z,1150137.22923,0.24,162.0
2020-01-01T01:30:49.945000Z,1033933.53313,0.24,162.0
2020-01-01T01:30:49.955000Z,923242.171507,0.24,165.0
2020-01-01T01:30:49.965000Z,874202.318083,0.24,162.0
2020-01-01T01:30:49.975000Z,888758.622007,0.4,180.0
2020-01-01T01:30:49.985000Z,842856.291251,0.4,180.0
2020-01-01T01:30:49.995000Z,883669.827291,0.4,180.0
2020-01-01T01:30:50.005000Z,938646.461478,0.4,180.0
2020-01-01T01:30:50.015000Z,921831.306796,0.16,300.0
2020-01-01T01:30:50.025000Z,892023.072308,0.16,300.0
2020-01-01T01:30:50.035000Z,909394.338261,0.16,300.0
2020-01-01T01:30:50.045000Z,795395.631825,0.96,240.0
2020-01-01T01:30:50.055000Z,778628.674316,0.96,240.0
2020-01-01T01:30:50.065000Z,885934.178175,0.76,189.0
2020-01-01T01:30:50.075000Z,991902.487571,0.76,189.0
2020-01-01T01:30:50.085000Z,881079.403903,0.76,189.0
2020-01-01T01:30:50.095000Z,1214948.37378,0.12,219.0
2020-01-01T01:30:50.105000Z,1430147.43602,0.12,219.0
2020-01-01T01:30:50.115000Z,1577741.99358,0.12,219.0
2020-01-01T01:30:50.125000Z,1501421.64388,0.16,219.0
2020-01-01T01:30:50.135000Z,1661651.23351,0.16,219.0
2020-01-01T01:30:50.145000Z,1479554.89278,0.16,219.0
2020-01-01T01:30:50.155000Z,1657206.20284,0.16,219.0
2020-01-01T01:30:50.165000Z,1564081.26504,0.12,216.0
2020-01-01T01:30:50.175000Z,1535566.85953,0.16,216.0
2020-01-01T01:30:50.185000Z,1504105.89786,0.16,216.0
2020-01-01T01:30:50.195000Z,1461064.86749,0.16,216.0
2020-01-01T01:30:50.205000Z,1399787.28595,0.8,54.0
2020-01-01T01:30:50.215000Z,1589059.80552,0.16,216.0
2020-01-01T01:30:50.225000Z,1631633.75386,0.16,213.0
2020-01-01T01:30:50.235000Z,1443709.28178,0.16,213.0
2020-01-01T01:30:50.245000Z,1502146.61653,0.16,213.0
2020-01-01T01:30:50.255000Z,1566259.51865,0.16,210.0
